Darin Adler
Samir Arora
Bill Atkinson
Michael Bartosh
Marc Benioff
Sabeer Bhatia
Blue Meanies
Mike Boich
Amelia Boone
Chrisann Brennan
Robert Brunner
William Campbell
Tantek Çelik
Satjiv S. Chahil
Stuart Cheshire
Adam Cheyer
John Couch
Richard Crandall
Robert X. Cringely
Eddy Cue
Doug Cutting
Bruce Daniels
Mark Davis
Michael Dhuey
John Draper
Donna Dubinsky
Chris Espinosa
Hartmut Esslinger
Tony Fadell
Bill Fernandez
Alex Fielding
Michael Gartenberg
Dominic Giampaolo
Trip Hawkins
Nancy R. Heinen
Andy Hertzfeld
Joanna Hoffman
Reid Hoffman
Rod Holt
Michael Homer
Bruce Horn
Jordan Hubbard
Dave Hyatt
Caitlin Kalinowski
Susan Kare
Guy Kawasaki
Kazuo Kawasaki
Alan Kay
Scott Knaster
Daniel Kottke
Ivan Krstić
Chris Lattner
Bruce Leak
Kevin Lynch
Rao Machiraju
Jerry Manock
Bob Mansfield
Mike Matas
Yoky Matsuoka
Clement Mok
Brit Morin
Dave Morin
Ike Nassi
Don Norman
Justin O'Beirne
Alan B. Oppenheimer
Peter Oppenheimer
Rich Page
Robert Pera
Patrick Piemonte
Roger Powell
Dan Quine
Queen Rania of Jordan
Jef Raskin
Dan Riccio
Jeff Robbin
Heidi Roizen
Andy Rubin
Bozoma Saint John
Steve Sakoman
Bertrand Serlet
Burrell Smith
Megan Smith
Sal Soghoian
Maciej Stachowiak
Gary Starkweather
Keith Stattenfield
Linda Stone
Sina Tamaddon
Larry Tesler
Avie Tevanian
Bruce Tognazzini
Bud Tribble
Grady Ward
Randy Wigginton
Larry Yaeger
Eric Zelenka
